player_id;team_external_id;player_name_pt;player_name_en;team_name_pt;team_name_en;team_abbreviation;position_code;position_pt;position_en;player_image_url;team_flag_url;rank_goalkeeper_saves;goalkeeper_saves;goalkeeper_defensive_actions_inside_penalty_area;goalkeeper_defensive_actions_outside_penalty_area;rank_goalkeeper_defensive_actions_inside_penalty_area;rank_goalkeeper_defensive_actions_outside_penalty_area
389879;285023_43843;Luca Zidane;Luca Zidane;Argélia;Algeria;ALG;GK;;;https://digitalhub.fifa.com/transform/9a389290-d443-4b83-8e3a-70e481bca3f1/ZIDANE-Luca_389879;https://api.fifa.com/api/v3/picture/flags-sq-3/ALG;30;9;34;32;49;49
520070;285023_43843;Melvin Mastil;Melvin Mastil;Argélia;Algeria;ALG;GK;;;https://digitalhub.fifa.com/transform/6d85724d-c5a6-400d-acb9-df73451a4bf4/MASTIL-Melvin_520070;https://api.fifa.com/api/v3/picture/flags-sq-3/ALG;56;0;0;0;60;60
477817;285023_43843;Oussama Benbot;Oussama Benbot;Argélia;Algeria;ALG;GK;;;https://digitalhub.fifa.com/transform/884914ab-5fde-4b43-a31a-99b35849afc8/BENBOT-Oussama_477817;https://api.fifa.com/api/v3/picture/flags-sq-3/ALG;56;0;14;13;57;57
308300;285023_43922;Emiliano Martinez;Emiliano Martinez;Argentina;Argentina;ARG;GK;;;https://digitalhub.fifa.com/transform/f5f477fe-a519-4c69-bb68-f6f5b97c1399/MARTINEZ_Emiliano_308300;https://api.fifa.com/api/v3/picture/flags-sq-3/ARG;50;4;57;49;32;31
394824;285023_43922;Geronimo Rulli;Geronimo Rulli;Argentina;Argentina;ARG;GK;;;https://digitalhub.fifa.com/transform/db91883b-99ec-4aa2-bf1a-cc7912040c7b/RULLI-Geronimo_394824;https://api.fifa.com/api/v3/picture/flags-sq-3/ARG;56;0;0;0;60;60
430624;285023_43922;Juan Musso;Juan Musso;Argentina;Argentina;ARG;GK;;;https://digitalhub.fifa.com/transform/c4a2b6b7-378f-422d-b2d1-42a04e5b1dfb/MUSSO-Juan_430624;https://api.fifa.com/api/v3/picture/flags-sq-3/ARG;56;0;0;0;60;60
339117;285023_43976;Mathew Ryan;Mathew Ryan;Austrália;Australia;AUS;GK;;;https://digitalhub.fifa.com/transform/7c98d5eb-1514-4e8f-a6c6-60f4017b2175/RYAN-Mathew_339117;https://api.fifa.com/api/v3/picture/flags-sq-3/AUS;56;0;0;0;60;60
494557;285023_43976;Patrick Beach;Patrick Beach;Austrália;Australia;AUS;GK;;;https://digitalhub.fifa.com/transform/0ea3c68c-c425-41c4-b973-c60e2d5b4685/BEACH-Patrick_494557;https://api.fifa.com/api/v3/picture/flags-sq-3/AUS;14;14;91;76;9;8
331135;285023_43976;Paul Izzo;Paul Izzo;Austrália;Australia;AUS;GK;;;https://digitalhub.fifa.com/transform/b64e66f2-6c65-4a90-8f28-6fc699fcf5ce/IZZO-Paul_331135;https://api.fifa.com/api/v3/picture/flags-sq-3/AUS;56;0;0;0;60;60
371739;285023_43934;Alexander Schlager;Alexander Schlager;Áustria;Austria;AUT;GK;;;https://digitalhub.fifa.com/transform/9612130f-7351-47d4-b346-dcd331a62cbe/SCHLAGER-Alexander_371739;https://api.fifa.com/api/v3/picture/flags-sq-3/AUT;10;15;85;74;13;11
520034;285023_43934;Florian Wiegele;Florian Wiegele;Áustria;Austria;AUT;GK;;;https://digitalhub.fifa.com/transform/7feedee9-3390-40e2-a9aa-8867abd8b89e/WIEGELE-Florian_520034;https://api.fifa.com/api/v3/picture/flags-sq-3/AUT;56;0;0;0;60;60
441065;285023_43934;Patrick Pentz;Patrick Pentz;Áustria;Austria;AUT;GK;;;https://digitalhub.fifa.com/transform/fee95866-9f5e-4663-b49f-3db6a86f0e80/PENTZ-Patrick_441065;https://api.fifa.com/api/v3/picture/flags-sq-3/AUT;56;0;0;0;60;60
499803;285023_43935;Mike Penders;Mike Penders;Bélgica;Belgium;BEL;GK;;;https://digitalhub.fifa.com/transform/88da8ae8-d4af-47b1-8f4c-e3ac46fbc226/PENDERS-Mike_499803;https://api.fifa.com/api/v3/picture/flags-sq-3/BEL;56;0;0;0;60;60
495348;285023_43935;Senne Lammens;Senne Lammens;Bélgica;Belgium;BEL;GK;;;https://digitalhub.fifa.com/transform/9e407610-b85c-45d8-847a-2bae1d24e699/LAMMENS-Senne_495348;https://api.fifa.com/api/v3/picture/flags-sq-3/BEL;56;0;0;0;60;60
358106;285023_43935;Thibaut Courtois;Thibaut Courtois;Bélgica;Belgium;BEL;GK;;;https://digitalhub.fifa.com/transform/b630bdbe-3615-43b0-b715-8da37b1ecfa6/COURTOIS-Thibaut_358106;https://api.fifa.com/api/v3/picture/flags-sq-3/BEL;17;13;92;75;7;9
491228;285023_44037;Martin Zlomislic;Martin Zlomislic;Bósnia e Herzegovina;Bosnia and Herzegovina;BIH;GK;;;https://digitalhub.fifa.com/transform/c2bf5ce5-0160-4561-a0e0-4508621e1820/ZLOMISLIC-Martin_491228;https://api.fifa.com/api/v3/picture/flags-sq-3/BIH;56;0;0;0;60;60
522842;285023_44037;Mladen Jurkas;Mladen Jurkas;Bósnia e Herzegovina;Bosnia and Herzegovina;BIH;GK;;;https://digitalhub.fifa.com/transform/d568a177-8466-4ef0-89d6-990d70cac911/JURKAS-Mladen_522842;https://api.fifa.com/api/v3/picture/flags-sq-3/BIH;56;0;0;0;60;60
482978;285023_44037;Nikola Vasilj;Nikola Vasilj;Bósnia e Herzegovina;Bosnia and Herzegovina;BIH;GK;;;https://digitalhub.fifa.com/transform/be1c5819-9bc1-4bf3-b677-9172d1be6bea/VASILJ-Nikola_482978;https://api.fifa.com/api/v3/picture/flags-sq-3/BIH;35;8;92;70;7;14
308370;285023_43924;Alisson;Alisson;Brasil;Brazil;BRA;GK;;;https://digitalhub.fifa.com/transform/6b051628-d407-41ce-8a60-dc354ac4ccb8/ALISSON_308370;https://api.fifa.com/api/v3/picture/flags-sq-3/BRA;10;15;67;59;27;24
395427;285023_43924;Ederson;Ederson;Brasil;Brazil;BRA;GK;;;https://digitalhub.fifa.com/transform/2a1d5731-391b-4644-a926-1bc899b86c81/EDERSON_395427;https://api.fifa.com/api/v3/picture/flags-sq-3/BRA;56;0;0;0;60;60
396315;285023_43924;Weverton;Weverton;Brasil;Brazil;BRA;GK;;;https://digitalhub.fifa.com/transform/c66a5712-81fa-4527-9e5a-8221f11b3274/WEVERTON_396315;https://api.fifa.com/api/v3/picture/flags-sq-3/BRA;56;0;0;0;60;60
441255;285023_43899;Dayne St Clair;Dayne St Clair;Canadá;Canada;CAN;GK;;;https://digitalhub.fifa.com/transform/0583604e-3974-45f0-ac6c-cdf0deaabe5c/ST-CLAIR-Dayne_441255;https://api.fifa.com/api/v3/picture/flags-sq-3/CAN;56;0;0;0;60;60
331732;285023_43899;Maxime Crepeau;Maxime Crepeau;Canadá;Canada;CAN;GK;;;https://digitalhub.fifa.com/transform/c4570ca7-10a7-44ca-901d-fee1e11e4400/CREPEAU-Maxime_331732;https://api.fifa.com/api/v3/picture/flags-sq-3/CAN;42;7;49;40;44;45
463817;285023_43899;Owen Goodman;Owen Goodman;Canadá;Canada;CAN;GK;;;https://digitalhub.fifa.com/transform/a226584e-2566-49be-b8e7-b8e73d3aa127/GOODMAN-Owen_463817;https://api.fifa.com/api/v3/picture/flags-sq-3/CAN;56;0;0;0;60;60
403090;285023_43854;Alban Lafont;Alban Lafont;Costa do Marfim;Côte d'Ivoire;CIV;GK;;;https://digitalhub.fifa.com/transform/4387ca2a-2c1e-4bee-baad-95e9485a4ba0/LAFONT-Alban_403090;https://api.fifa.com/api/v3/picture/flags-sq-3/CIV;56;0;0;0;60;60
486259;285023_43854;Mohamed Kone;Mohamed Kone;Costa do Marfim;Côte d'Ivoire;CIV;GK;;;https://digitalhub.fifa.com/transform/937ed103-c12b-4931-83f1-ee615a67858e/HASSAN-ALTAMBAKTI_403335;https://api.fifa.com/api/v3/picture/flags-sq-3/CIV;56;0;0;0;60;60
405873;285023_43854;Yahia Fofana;Yahia Fofana;Costa do Marfim;Côte d'Ivoire;CIV;GK;;;https://digitalhub.fifa.com/transform/c5bc8a38-479f-4c33-b8f6-9ab95bb45b57/FOFANA-Yahia_405873;https://api.fifa.com/api/v3/picture/flags-sq-3/CIV;23;11;84;68;15;16
441313;285023_20014;Lionel Mpasi;Lionel Mpasi;RD do Congo;Congo DR;COD;GK;;;https://digitalhub.fifa.com/transform/93a9ca9a-b0db-41bb-80e6-878eb46f0c84/MPASI-Lionel_441313;https://api.fifa.com/api/v3/picture/flags-sq-3/COD;10;15;83;70;16;14
514171;285023_20014;Matthieu Epolo;Matthieu Epolo;RD do Congo;Congo DR;COD;GK;;;https://digitalhub.fifa.com/transform/5b3aa99c-c19f-4087-9230-fcc1023e6baa/EPOLO-Matthieu_514171;https://api.fifa.com/api/v3/picture/flags-sq-3/COD;56;0;0;0;60;60
486196;285023_20014;Timothy Fayulu;Timothy Fayulu;RD do Congo;Congo DR;COD;GK;;;https://digitalhub.fifa.com/transform/deee3a8c-2aea-43fd-80d4-18dfdf1fad94/FAYULU-Timothy_486196;https://api.fifa.com/api/v3/picture/flags-sq-3/COD;56;0;0;0;60;60
385998;285023_43926;Alvaro Montero;Alvaro Montero;Colômbia;Colombia;COL;GK;;;https://digitalhub.fifa.com/transform/b7af4c7c-edc7-483d-a804-068ea864840e/MONTERO-Alvaro_385998;https://api.fifa.com/api/v3/picture/flags-sq-3/COL;56;0;0;0;60;60
360642;285023_43926;Camilo Vargas;Camilo Vargas;Colômbia;Colombia;COL;GK;;;https://digitalhub.fifa.com/transform/0a3646b6-8b61-4004-a460-0aad23a8ff36/VARGAS-Camilo_360642;https://api.fifa.com/api/v3/picture/flags-sq-3/COL;42;7;57;54;32;27
228686;285023_43926;David Ospina;David Ospina;Colômbia;Colombia;COL;GK;;;https://digitalhub.fifa.com/transform/bb1dfed7-fde5-4558-8bf0-fe299883d6fa/OSPINA-David_228686;https://api.fifa.com/api/v3/picture/flags-sq-3/COL;56;0;0;0;60;60
406281;285023_43850;Cj Dos Santos;Cj Dos Santos;Cabo Verde;Cabo Verde;CPV;GK;;;https://digitalhub.fifa.com/transform/ecf9ed76-fe11-4089-96d4-8126286db543/CJ-DOS-SANTOS_406281;https://api.fifa.com/api/v3/picture/flags-sq-3/CPV;56;0;0;0;60;60
407114;285023_43850;Marcio Rosa;Marcio Rosa;Cabo Verde;Cabo Verde;CPV;GK;;;https://digitalhub.fifa.com/transform/fcc402a3-4dbd-4c2e-9856-c8a3104ce221/MARCIO-ROSA_407114;https://api.fifa.com/api/v3/picture/flags-sq-3/CPV;56;0;0;0;60;60
364752;285023_43850;Vozinha;Vozinha;Cabo Verde;Cabo Verde;CPV;GK;;;https://digitalhub.fifa.com/transform/b8286230-b161-484e-87a9-ce5a20e6f7d1/VOZINHA_364752;https://api.fifa.com/api/v3/picture/flags-sq-3/CPV;4;18;136;102;2;4
448179;285023_43938;Dominik Kotarski;Dominik Kotarski;Croácia;Croatia;CRO;GK;;;https://digitalhub.fifa.com/transform/4fb248c2-8d15-4415-ab5f-19bf997447ae/KOTARSKI-Dominik_448179;https://api.fifa.com/api/v3/picture/flags-sq-3/CRO;56;0;0;0;60;60
369029;285023_43938;Dominik Livakovic;Dominik Livakovic;Croácia;Croatia;CRO;GK;;;https://digitalhub.fifa.com/transform/6f54cf31-4fd8-4dff-aaa7-9db6bf2fa2ec/LIVAKOVIC-Dominik_369029;https://api.fifa.com/api/v3/picture/flags-sq-3/CRO;19;12;80;68;18;16
514526;285023_43938;Ivor Pandur;Ivor Pandur;Croácia;Croatia;CRO;GK;;;https://digitalhub.fifa.com/transform/5a32b76f-ee60-4eb1-a2e0-b12bc86e41e0/PANDUR-Ivor_514526;https://api.fifa.com/api/v3/picture/flags-sq-3/CRO;56;0;0;0;60;60
390650;285023_1895293;Eloy Room;Eloy Room;Curaçau;Curaçao;CUW;GK;;;https://digitalhub.fifa.com/transform/5bd9ff87-6801-46d2-8f10-ca9eb3ea2ea4/ROOM-Eloy_390650;https://api.fifa.com/api/v3/picture/flags-sq-3/CUW;2;21;81;72;17;13
466382;285023_1895293;Trevor Doornbusch;Trevor Doornbusch;Curaçau;Curaçao;CUW;GK;;;https://digitalhub.fifa.com/transform/f6d2d4d6-a63d-4278-a520-5edb0dc24e69/DOORNBUSCH-Trevor_466382;https://api.fifa.com/api/v3/picture/flags-sq-3/CUW;56;0;0;0;60;60
466370;285023_1895293;Tyrick Bodak;Tyrick Bodak;Curaçau;Curaçao;CUW;GK;;;https://digitalhub.fifa.com/transform/c806d05b-ee7a-482f-beb5-b9a6b5871a11/BODAK-Tyrick_466370;https://api.fifa.com/api/v3/picture/flags-sq-3/CUW;56;0;0;0;60;60
441162;285023_43995;Jindrich Stanek;Jindrich Stanek;Tchéquia;Czechia;CZE;GK;;;https://digitalhub.fifa.com/transform/9351d9a7-4be7-4c59-8e0e-3f5fbca8ac7d/STANEK-Jindrich_441162;https://api.fifa.com/api/v3/picture/flags-sq-3/CZE;56;0;0;0;60;60
511118;285023_43995;Lukas Hornicek;Lukas Hornicek;Tchéquia;Czechia;CZE;GK;;;https://digitalhub.fifa.com/transform/d76a995c-dcd7-4219-a555-3336ac87b052/HORNICEK-Lukas_511118;https://api.fifa.com/api/v3/picture/flags-sq-3/CZE;56;0;0;0;60;60
484012;285023_43995;Matej Kovar;Matej Kovar;Tchéquia;Czechia;CZE;GK;;;https://digitalhub.fifa.com/transform/06f2bdbf-6411-4f1c-885b-3c745e37363e/KOVAR-Matej_484012;https://api.fifa.com/api/v3/picture/flags-sq-3/CZE;23;11;60;52;29;30
448295;285023_43927;Gonzalo Valle;Gonzalo Valle;Equador;Ecuador;ECU;GK;;;https://digitalhub.fifa.com/transform/d67ebe06-be17-4735-a8a7-9659eb37cf37/VALLE-Gonzalo_448295;https://api.fifa.com/api/v3/picture/flags-sq-3/ECU;56;0;0;0;60;60
441236;285023_43927;Hernan Galindez;Hernan Galindez;Equador;Ecuador;ECU;GK;;;https://digitalhub.fifa.com/transform/679fc90e-2f98-4494-a4dd-f26442fae6d3/GALINDEZ-Hernan_441236;https://api.fifa.com/api/v3/picture/flags-sq-3/ECU;19;12;68;63;26;22
419002;285023_43927;Moises Ramirez;Moises Ramirez;Equador;Ecuador;ECU;GK;;;https://digitalhub.fifa.com/transform/3a641146-b759-48d0-983f-b85bb1232cc4/RAMIREZ-Moises_419002;https://api.fifa.com/api/v3/picture/flags-sq-3/ECU;56;0;0;0;60;60
395860;285023_43855;Mahdy Soliman;Mahdy Soliman;Egito;Egypt;EGY;GK;;;https://digitalhub.fifa.com/transform/90b92e39-b717-40c5-a2ab-05616ca017c8/MAHDY-SOLIMAN_395860;https://api.fifa.com/api/v3/picture/flags-sq-3/EGY;56;0;0;0;60;60
512079;285023_43855;Mohamed Alaa;Mohamed Alaa;Egito;Egypt;EGY;GK;;;https://digitalhub.fifa.com/transform/6a209a18-784b-401d-af68-4c768a814a36/MOHAMED-ALAA_512079;https://api.fifa.com/api/v3/picture/flags-sq-3/EGY;56;0;0;0;60;60
408948;285023_43855;Mohamed Elshenawy;Mohamed Elshenawy;Egito;Egypt;EGY;GK;;;https://digitalhub.fifa.com/transform/5bfa85ca-3349-4143-9afa-1b5a43ac8c54/MOHAMED-ELSHENAWY_408948;https://api.fifa.com/api/v3/picture/flags-sq-3/EGY;56;0;0;0;60;60
416906;285023_43855;Mostafa Shoubir;Mostafa Shoubir;Egito;Egypt;EGY;GK;;;https://digitalhub.fifa.com/transform/0fa52c2d-3a6c-49cf-ac83-ddc4a08d57e3/MOSTAFA-SHOUBIR_416906;https://api.fifa.com/api/v3/picture/flags-sq-3/EGY;14;14;119;105;4;2
403046;285023_43942;Dean Henderson;Dean Henderson;Inglaterra;England;ENG;GK;;;https://digitalhub.fifa.com/transform/acb3f8de-1176-40ef-99c2-e671120fbde0/HENDERSON-Dean_403046;https://api.fifa.com/api/v3/picture/flags-sq-3/ENG;56;0;0;0;60;60
485080;285023_43942;James Trafford;James Trafford;Inglaterra;England;ENG;GK;;;https://digitalhub.fifa.com/transform/f923135f-5d11-46cb-90a3-517f74cb4c76/TRAFFORD-James_485080;https://api.fifa.com/api/v3/picture/flags-sq-3/ENG;56;0;0;0;60;60
336022;285023_43942;Jordan Pickford;Jordan Pickford;Inglaterra;England;ENG;GK;;;https://digitalhub.fifa.com/transform/5f9b3bbf-edb5-4956-bce7-2d0a8e77f6ab/PICKFORD-Jordan_336022;https://api.fifa.com/api/v3/picture/flags-sq-3/ENG;30;9;89;73;10;12
447853;285023_43969;David Raya;David Raya;Espanha;Spain;ESP;GK;;;https://digitalhub.fifa.com/transform/2a0b3279-e7c5-44c9-8f13-897d085e83bf/RAYA-David_447853;https://api.fifa.com/api/v3/picture/flags-sq-3/ESP;56;0;0;0;60;60
484691;285023_43969;Joan Garcia;Joan Garcia;Espanha;Spain;ESP;GK;;;https://digitalhub.fifa.com/transform/08439f96-c835-4b28-9fc5-7e90d4e82738/GARCIA-Joan_484691;https://api.fifa.com/api/v3/picture/flags-sq-3/ESP;56;0;0;0;60;60
430753;285023_43969;Unai Simon;Unai Simon;Espanha;Spain;ESP;GK;;;https://digitalhub.fifa.com/transform/41e0f920-bd7d-4bd6-882b-c83ed33e3f26/SIMON-Unai_430753;https://api.fifa.com/api/v3/picture/flags-sq-3/ESP;30;9;70;54;23;27
483471;285023_43946;Brice Samba;Brice Samba;França;France;FRA;GK;;;https://digitalhub.fifa.com/transform/99fa69d0-8c6e-4c11-a78c-98a70aa322f8/SAMBA-Brice_483471;https://api.fifa.com/api/v3/picture/flags-sq-3/FRA;56;0;0;0;60;60
448332;285023_43946;Mike Maignan;Mike Maignan;França;France;FRA;GK;;;https://digitalhub.fifa.com/transform/3f92a933-a22d-4f58-8f4f-b51370aeacf4/MAIGNAN-Mike_448332;https://api.fifa.com/api/v3/picture/flags-sq-3/FRA;28;10;59;47;30;34
464127;285023_43946;Robin Risser;Robin Risser;França;France;FRA;GK;;;https://digitalhub.fifa.com/transform/834e2e38-78ec-4e02-98a8-dbc085a9637c/RISSER-Robin_464127;https://api.fifa.com/api/v3/picture/flags-sq-3/FRA;56;0;0;0;60;60
429639;285023_43948;Alexander Nuebel;Alexander Nuebel;Alemanha;Germany;GER;GK;;;https://digitalhub.fifa.com/transform/9d30bb13-c082-4759-90e7-e0bde4305d1f/NUEBEL-Alexander_429639;https://api.fifa.com/api/v3/picture/flags-sq-3/GER;56;0;0;0;60;60
228912;285023_43948;Manuel Neuer;Manuel Neuer;Alemanha;Germany;GER;GK;;;https://digitalhub.fifa.com/transform/e3701d06-66b5-4728-8bad-fea05319b6b8/NEUER-Manuel_228912;https://api.fifa.com/api/v3/picture/flags-sq-3/GER;42;7;61;45;28;39
306538;285023_43948;Oliver Baumann;Oliver Baumann;Alemanha;Germany;GER;GK;;;https://digitalhub.fifa.com/transform/9da65f41-ea53-4209-b2f6-c59e69dbc193/BAUMANN-Oliver_306538;https://api.fifa.com/api/v3/picture/flags-sq-3/GER;56;0;0;0;60;60
494349;285023_43860;Benjamin Asare;Benjamin Asare;Gana;Ghana;GHA;GK;;;https://digitalhub.fifa.com/transform/59f40ed7-650e-48ef-8f42-8a8a326b0504/ASARE-Benjamin_494349;https://api.fifa.com/api/v3/picture/flags-sq-3/GHA;35;8;55;47;37;34
506277;285023_43860;Joseph Anang;Joseph Anang;Gana;Ghana;GHA;GK;;;https://digitalhub.fifa.com/transform/ddb39257-eec9-4097-bc08-6f1dbe034dec/ANANG-Joseph_506277;https://api.fifa.com/api/v3/picture/flags-sq-3/GHA;56;0;0;0;60;60
386473;285023_43860;Lawrence Ati Zigi;Lawrence Ati Zigi;Gana;Ghana;GHA;GK;;;https://digitalhub.fifa.com/transform/ff31f89d-7f19-4a3e-b213-6c943ec77fb4/ZIGI-Lawrence-Ati_386473;https://api.fifa.com/api/v3/picture/flags-sq-3/GHA;35;8;31;30;51;50
466835;285023_43908;Alexandre Pierre;Alexandre Pierre;Haiti;Haiti;HAI;GK;;;https://digitalhub.fifa.com/transform/68889bed-7acd-4e67-a3bd-a18a300e70a0/PIERRE-Alexandre_466835;https://api.fifa.com/api/v3/picture/flags-sq-3/HAI;56;0;0;0;60;60
295922;285023_43908;Johny Placide;Johny Placide;Haiti;Haiti;HAI;GK;;;https://digitalhub.fifa.com/transform/3b4c1123-62c6-4267-9d22-6d138e461a54/PLACIDE-Johny_295922;https://api.fifa.com/api/v3/picture/flags-sq-3/HAI;17;13;56;48;36;32
466853;285023_43908;Josue Duverger;Josue Duverger;Haiti;Haiti;HAI;GK;;;https://digitalhub.fifa.com/transform/7f30e7f0-2c85-4fa5-aa66-09d5bd74f435/DUVERGER-Josue_466853;https://api.fifa.com/api/v3/picture/flags-sq-3/HAI;56;0;0;0;60;60
380007;285023_43817;Alireza Beiranvand;Alireza Beiranvand;RI do Irã;IR Iran;IRN;GK;;;https://digitalhub.fifa.com/transform/c8cf4e84-2bd2-4e20-bb73-c7f14a935b73/BEIRANVAND-Alireza_380007;https://api.fifa.com/api/v3/picture/flags-sq-3/IRN;10;15;75;65;20;19
